Time,Grams,Blood Accumulated,Water Accumulated,Delta,Delta of Delta
1.5572e+09,249,234.91,249.75,5.4717,3.8679
1.5572e+09,279.4,263.58,280.24,28.679,23.208
1.5572e+09,288.2,271.89,289.07,8.3019,-20.377
1.5572e+09,291.5,275,292.38,3.1132,-5.1887
1.5572e+09,291.9,275.38,292.78,0.37736,-2.7358
1.5572e+09,292.5,275.94,293.38,0.56604,0.18868
1.5572e+09,293.1,276.51,293.98,0.56604,0
1.5572e+09,293.7,277.08,294.58,0.56604,-5.6843e-14
1.5572e+09,294.3,277.64,295.19,0.56604,5.6843e-14
1.5572e+09,294.6,278.11,295.69,0.4717,-0.09434
1.5572e+09,294.9,278.21,295.79,0.09434,-0.37736
1.5572e+09,296.7,279.91,297.59,1.6981,1.6038
1.5572e+09,297.3,280.47,298.19,0.56604,-1.1321
1.5572e+09,297.3,280.47,298.19,0,-0.56604
1.5572e+09,297.6,280.75,298.5,0.28302,0.28302
1.5572e+09,297.4,280.75,298.5,0,-0.28302
1.5572e+09,298,281.13,298.9,0.37736,0.37736
1.5572e+09,297.8,281.13,298.9,0,-0.37736
1.5572e+09,297.9,281.13,298.9,0,0
1.5572e+09,297.7,281.13,298.9,0,0
1.5572e+09,297.6,281.13,298.9,0,0
1.5572e+09,298,281.13,298.9,0,0
1.5572e+09,298.2,281.32,299.1,0.18868,0.18868
1.5572e+09,298.1,281.32,299.1,0,-0.18868
1.5572e+09,297.3,281.32,299.1,0,0
1.5572e+09,297.5,281.32,299.1,0,0
1.5572e+09,297.4,281.32,299.1,0,0
1.5572e+09,297.6,281.32,299.1,0,0
1.5572e+09,297.6,281.32,299.1,0,0
1.5572e+09,297.8,281.32,299.1,0,0
1.5572e+09,297.8,281.32,299.1,0,0
1.5572e+09,298,281.32,299.1,0,0
1.5572e+09,297.5,281.32,299.1,0,0
1.5572e+09,297.8,281.32,299.1,0,0
1.5572e+09,298.3,281.42,299.2,0.09434,0.09434
1.5572e+09,298.8,281.89,299.7,0.4717,0.37736
1.5572e+09,299.1,282.17,300,0.28302,-0.18868
1.5572e+09,298.4,282.17,300,0,-0.28302
1.5572e+09,298.5,282.17,300,0,0
1.5572e+09,298.7,282.17,300,0,0
1.5572e+09,299.5,282.55,300.4,0.37736,0.37736
1.5572e+09,300.4,283.4,301.3,0.84906,0.4717
1.5572e+09,300.9,283.87,301.81,0.4717,-0.37736
1.5572e+09,301.4,284.34,302.31,0.4717,0
1.5572e+09,302,285,303.01,0.66038,0.18868
1.5572e+09,302.3,285.19,303.21,0.18868,-0.4717
1.5572e+09,302.5,285.38,303.41,0.18868,0
1.5572e+09,302.6,285.47,303.51,0.09434,-0.09434
